IRONS
Graftech GT 65,GW0050,1B2M,Graphite,L,66,4.1,mid,medium,mid,$19.99,73
Graftech Lite,GW1006,1B2M,Graphite,L,73,3.5,mid,medium,mid,$14.99,73
Mitsubishi MMT 50 .370,MR0090,1D2S,Graphite,L,57,5.9,mid,med/firm,mid,$60.00,92
Cypher 2.0 .370,TT0212,1D3M,Graphite,4.0 L,49,4.5,low,soft,high,$41.99,102
Fuji Sakura Ir .370,FK0111,1D3M,Graphite,Lite,44,4.9,low,soft,high,$35.00,Web
G-Tech,GD0012,1D3M,Graphite,L,77,3.5,low,soft,high,$24.99,101
M890,MA0312,1D3M,Graphite,LL,58,4.5,low,soft,high,$17.99,72
M890,MA0312,1D3M,Graphite,L,60,4.5,low,soft,high,$17.99,72
Pro Custom,TT201201,1D3M,Graphite,L,74,4.1,low,soft,high,$26.99,79
Recoil 450 ESX .370,US0114,1D3M,Graphite,F1-L,52,4.2,low,soft,high,$45.00,84
UST dhi Series .370,US0084,1D3M,Graphite,L,57,4.9,low,soft,high,$25.00,85
Competition Series,US0045,1D3S,Graphite,L,73,5.0,low,soft,mid/high,$25.00,85
KBS Max Graphite .355,FS0074,1D3S,Graphite,Lite,45,5.0,low,soft,high,$59.95,111
KBS Max Graphite .370,FS0060,1D3S,Graphite,Lite,45,5.0,low,soft,high,$49.95,111
Vista Pro 40i,FK0104,1D3S,Graphite,R3 ,49,5.2,low,soft,high,$35.00,99
HZRDUS Orange Gen 4 JR .370,TT0206,1.5B2S,Graphite,JR - Soft,44,5.5,mid,med,mid,$30.00,103
KBS TGI Graphite 50 .370,FS0054,1.5D3M,Graphite,Lite/A,50,4.0,low,soft,high,$54.95,112
N.S. Pro 8950GH,NP0004 / NP0005,2B2H,Steel,A,93,2.1,mid,med/soft,mid/high,$25.50,118
Aldila NV 55 .370,AL0090,2B2M,Graphite,A,58,4.6,mid,medium,mid,$35.00,87
Aldila NV 65 .370,AL0090,2B2M,Graphite,A,62,4.1,mid,medium,mid,$35.00,87
Fuji Pro 75i .370,FK0085,2B2M,Graphite,R2,74,3.1,mid,medium,mid/high,$45.00,99
Graftech GT 65,GW0050,2B2M,Graphite,A,66,4.1,mid,medium,mid,$19.99,73
Graftech Lite,GW1006,2B2M,Graphite,A,73,3.5,mid,medium,mid,$14.99,73
Kuro Kage Blk 70  2nd Gen,MR0046,2B2M,Graphite,A,73,3.5,mid,medium,mid,$24.99,95
Mitsubishi C6 Black 60 .370,MR0100,2B2M,Graphite,R2,67,4.3,mid,med/soft,mid,$45.00,93
ProLaunch Blue 80,TT0135,2B2M,Graphite,A,80,3.2,low,soft,high,$34.99,79
Recoil Dart 65 .355,US0136,2B2M,Graphite,F2-A,65,3.1,low,medium,mid/high,$60.00,83
Recoil Dart 75 .370,US0124,2B2M,Graphite,F2-A,70,3.9,low/mid,med/firm,mid,$50.00,83
Recoil 660 SC .370,US0110,2B2M,Graphite,F2-A,68,4.3,low/mid,medium,mid/high,$35.00,84
Recoil 760 ES SW IP .370,US0107,2B2M,Graphite,F2-A,68,4.1,low/mid,med/soft,mid/high,$45.00,84
SteelFiber fc70 .370,AT0033I,2B2M,Graphite,F2-A,74,3.5,variable,variable,variable,$58.00,77
SteelFiber 70cw .355,AT0020IE,2B2M,Graphite,A,70,3.5,low/mid,med/soft,mid/high,$60.00,76
SteelFiber 70 .370,AT0018,2B2M,Graphite,A,74,3.5,low/mid,med/soft,mid/high,$55.00,76
Aldila NV 45 .370,AL0090,2D2S,Graphite,A,47,5.8,mid,medium,mid,$35.00,87
Mitsubishi MMT 60 .370,MR0090,2D2S,Graphite,A,62,5.9,mid,med/firm,mid,$60.00,92
Recoil Dart 65 .370,US0124,2D2S,Graphite,F2-A,61,5.2,low,medium,mid,$50.00,83
FST 90,FS0011,2D3H,Steel,A,100,3.0,low,soft,high,$12.95,120
FST 115,FS0012,2D3H,Steel,A,115,3.0,low,soft,high,$11.95,120
FST Pro 115 Stepless,FS0087,2D3H,Steel,A,115,3.0,low,soft,high,$13.95,120
Cypher 2.0 .370,TT0212,2D3M,Graphite,5.0 A,56,4.0,low,med/soft,high,$41.99,102
G-Tech,GD0012,2D3M,Graphite,A,77,3.5,low,soft,high,$24.99,101
KBS Max Graphite .355,FS0074,2D3M,Graphite,A,55,4.5,low,soft,high,$59.95,111
KBS Max Graphite .370,FS0060,2D3M,Graphite,A,55,4.5,low,soft,high,$49.95,111
M890,MA0312,2D3M,Graphite,A,62,4.5,low,soft,high,$17.99,72
Pro Custom,TT201201,2D3M,Graphite,A,74,4.1,low,soft,high,$26.99,79
Rapport Core Blue Ir .370,VA0007,2D3M,Graphite,A,65,3.8,low,soft/med,high,$34.99,75
Recoil 460 ESX .370,US0114,2D3M,Graphite,F2-A,59,4.8,low,soft,high,$45.00,84
SteelFiber i55 .355,AT0039IE,2D3M,Graphite,A,56,4.1,low,soft,high,$60.00,76
UST dhi Series .370,US0084,2D3M,Graphite,A,66,4.2,low,soft,high,$25.00,85
Vista Pro 50i,FK0104,2D3M,Graphite,R2,58.5,4.4,low,med/soft,high,$35.00,99
Competition Series,US0045,2D3S,Graphite,A,73,5.0,low,soft,mid/high,$25.00,85
KBS PGI Graphite 50 .370,FS0078,2D3S,Graphite,Lite,50,5,low,soft,high,$69.95 ,112
MPF Pro Series .370,MA0292,2D3S,Graphite,A,67,4.7,low,soft,high,$21.99,72
ProLaunch Blue 50,TT0135,2D3S,Graphite,A,58,5.0,low,soft,high,$34.99,79
SteelFiber i55 .370,AT0038,2D3S,Graphite,A,56,5.4,low,soft,high,$55.00,76
HZRDUS Orange Gen 4 JR .370,TT0206,2.5B2S,Graphite,JR - Med,44,5.5,mid,med,mid,$30.00,103
Nippon Zelos 7,NP0013 / NP0014,2.5B3H,Steel,R2,73,2.9,low,soft,high,$34.00,119
Dynamic Gold 105 .355,TT0122 ,3B1H,Steel,R300,101,1.9,high,medium,low/mid,$36.99,106
Dynamic Gold 105 .370,TT0121 ,3B1H,Steel,R300,105,1.9,high,medium,low/mid,$36.99,106
Dynamic Gold 120 .355,TT0124,3B1H,Steel,R300,116,1.9,high,stiff,low,$36.99,106
KBS C-Taper .355,FS0026,3B1H,Steel,R,110,2.5,high,stiff,low,$49.95,113
KBS C-Taper .370,FS0027,3B1H,Steel,R,125,2.5,high,stiff,low,$49.95,113
KBS Tour V .355,FS0036,3B1H,Steel,R,100,2.5,mid,stiff,mid,$47.95,113
N.S. Pro Modus³ Tour 115,NP0028,3B1H,Steel,R,117.5,1.7,high,med/firm,mid,$38.00,117
N.S. Pro Modus³ Tour 120,NP0020 / NP0001,3B1H,Graphite,R,111,1.9,mid/high,stiff,low/mid,$38.00,117
N.S. Pro Modus³ Tour 125,NP0015,3B1H,Graphite,R,127.5,1.7,high,med/firm,mid,$38.00,117
Project X LZ .355,TT0117,3B1H,Steel,5.0 R,110,1.9,mid,stiff,mid,$51.99,105
SteelFiber 95cw .355,AT0015IE,3B1H,Graphite,R,95,2.5,mid,medium,mid,$60.00,76
SteelFiber 95 .370,AT0003,3B1H,Graphite,R,95,2.5,mid,medium,mid,$55.00,76
TT AMT Tour White .355,TT0126,3B1H,Steel,R300,119,1.9,high,stiff,low/mid,$39.99,108
Dynamic Gold 95 .355,TT0195,3B2H,Steel,R300,96,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 95 .370,TT0196,3B2H,Steel,R300,100,1.9,mid,med/soft,high,$36.99,107
Dynamic Gold 100 Mid .355,TT0197,3B2H,Steel,R300,106,1.9,mid,medium,mid/high,$36.99,107
Dynamic Gold 115 Mid .355,TT0198,3B2H,Steel,R300,114,1.9,mid,med/firm,mid,$36.99,107
KBS C-Taper Lite .355,FS0035,3B2H,Steel,R,105,2.5,low/mid,firm,mid/high,$54.95,113
KBS C-Taper Lite .370,FS0038,3B2H,Steel,R,108.5,2.5,low/mid,firm,mid/high,$54.95,113
KBS $-Taper .355 Black PVD,FS0049,3B2H,Steel,R,110,2.5,mid,medium,mid,$64.95,Web
KBS $-Taper .355 Chrome,FS0050,3B2H,Steel,R,110,2.5,mid,medium,mid,$64.95,113
KBS Tour .355,FS0018,3B2H,Steel,R,110,2.5,mid,medium,mid,$34.95,114
KBS Tour Cust Blk .355,FS0028,3B2H,Steel,R,110,2.5,mid,medium,mid,$59.95,Web
KBS Tour Lite 105 .370,FS0079,3B2H,Steel,R,105,2.5,low/mid,soft/med,mid/high,$39.95,114
N.S Pro 750GH neo .355,NP0030,3B2H,Steel,R,74.5,2.6,mid,soft,high,$34.00,Web
