WEDGES
KBS 610 Wedge 110,FS0040,3B1H,Steel,R,110,2.8,high,stiff,low/mid,$41.95 ,114
KBS Tour Chrome Wedge,FS0034,3B2H,Steel,R,110,2.8,mid,medium,mid,$41.95 ,114
KBS Tour Cust Blk,FS0030,3B2H,Steel,R,110,2.8,mid,medium,mid,$59.95 ,Web
KBS HI-Rev 2.0 Wedge,FS0039,3B3H,Steel,R,115,2.8,low,soft,mid,$41.95 ,114
KBS 610 Wedge 115,FS0040,3.5B1H,Steel,R+,115,2.8,high,stiff,low/mid,$41.95 ,114
Project X Wedge,TT0183,3.5B1H,Steel,R+(5.5),115,1.9,high,firm,low,$46.99 ,105
Dynamic Gold Spinner Wedge,TT0194,3.5B2H,Steel,Wedge,128,2.8,mid,medium,mid,$44.99 ,107
N.S. Pro Modus³ Wedge 105,NP0017,3.5B2H,Steel,Wedge,111,1.6,mid,medium,mid,$39.00 ,117
KBS Tour Chrome Wedge,FS0034,4B1H,Steel,S,120,2.8,mid/high,med/stiff,mid,$41.95 ,114
KBS Tour Cust Blk,FS0030,4B1H,Steel,S,120,2.8,mid/high,med/stiff,mid,$59.95 ,Web
KBS Tour V Wedge,FS0037,4B1H,Steel,Wedge,125,2.8,mid,stiff,low/mid,$47.95 ,113
Dynamic Gold 115 Wedge .355,TT0123,4B2H,Steel,Wedge,115,2.8,mid,medium,low/mid,$36.99 ,107
N.S. Pro Modus³ Wedge 115,NP0017,4B2H,Steel,Wedge,122,1.5,mid,medium,low/mid,$39.00 ,117
KBS HI-Rev 2.0 Wedge,FS0039,4B3H,Steel,S,125,2.8,low,soft,mid,$41.95 ,114
Dynamic Gold TI Onyx,TT0111,4C1H,Steel,S400,132,2.8,high,stiff,low,$49.99 ,106
KBS 610 Wedge 120,FS0040,4C1H,Steel,S,120,2.8,high,stiff,low/mid,$41.95 ,114
Project X Wedge,TT0183,4C1H,Steel,S(6.0),120,1.9,high,firm,low,$46.99 ,105
N.S Pro Modus³ Wedge 125,NP0017,4.5B2H,Steel,Wedge,133,1.3,mid,medium,low,$39.00 ,117
KBS 610 Wedge 125,FS0040,4.5C1H,Steel,S+,125,2.8,high,stiff,low/mid,$41.95 ,114
KBS HI-Rev 2.0 Wedge,FS0039,5B3H,Steel,X,135,2.8,low,soft,mid,$41.95 ,114
Dynamic Gold TI Onyx,TT0111,5C1H,Steel,X100,130,2.8,high,stiff,low,$49.99 ,106
KBS Tour Chrome Wedge,FS0034,5C1H,Steel,X,130,2.8,high,stiff,mid,$41.95 ,114
Project X Wedge,TT0183,5C1H,Steel,X(6.5),125,1.9,high,firm,low,$46.99 ,105
Project X Wedge,TT0183,5.5C1H,Steel,X+(7.0),130,1.9,high,firm,low,$46.99 ,105
