WOODS
Accra iWood 42,AC0003,1B2M,Graphite,M1-L,53,4.9,low/mid,med/soft,mid/high,$99.00 ,78
Aldila NV Pink 55,AL0093,1B2M,Graphite,L,57,4.5,mid,medium,mid/high,$80.00 ,87
Graftech GT 65,GW0048,1B2M,Graphite,L,65,4.5,low/mid,med/soft,mid,$27.99,73
Graftech Lite,GW1005,1B2M,Graphite,L,73,4.8,mid,medium,mid,$16.99,73
Aldila NVS 45,AL0091,1D2S,Graphite,L,46,6.2,low/mid,med/soft,mid/high,$80.00,87
Competition Series,US0044,1D2S,Graphite,L,61,6.0,low,medium,high,$30.00,85
ProLaunch Blue 45,TT0133,1D2S,Graphite,L,44,5.0,low/mid,med/soft,high,$59.99,79
UST Helium Nanocore 40,US0126,1D2S,Graphite,F1-L,44,6.3,mid,soft,high,$280.00,Web
G-Tech,GD0011,1D3M,Graphite,L,69,4.9,low,soft,high,$27.99,101
Cypher 2.0 40,TT0211,1D3S,Graphite,Lite(4.0),47,6.0,low,med/soft,high,$225.00,102
Fuji Sakura 40,FK0110,1D3S,Graphite,Lite,47.5,8.4,low,soft,high,$95.00,Web
M890,MA0311,1D3S,Graphite,LL,60,5.5,low,soft,high,$24.99,72
M890,MA0311,1D3S,Graphite,L,63,5.5,low,soft,high,$24.99,72
MPF Pro Series UL,MA0288,1D3S,Graphite,L,72,5.9,low,soft,high,$39.99,72
Pro Custom,TT202214,1D3S,Graphite,L,65,5.5,low,soft,high,$31.99,79
ProForce V2 HL 55,US0141,1D3S,Graphite,F1-L,51,5.1,low,soft,high,$75.00,82
UST Attas Speed 40,US0138,1D3S,Graphite,L,47,5.2,low,soft,high,$385.00,81
UST dhi Series,US0082,1D3S,Graphite,L,60,5.8,low,soft,high,$30.00,85
Vista Pro 45,FK0102,1D3S,Graphite,R3 ,48,5.6,low,soft,high,$95.00,99
GD Tour AD DI 50 Blk,GD0023,2B1M,Graphite,R2,54,4.7,mid,firm,high,$379.00,101
GD Tour AD DI 50 Org,GD0023,2B1M,Graphite,R2,54,4.7,mid,firm,high,$379.00,101
Ventus TR Blue 50,FK0112,2B1M,Graphite,R2,56,3.7,mid,stiff,mid,$350.00,96
Ventus Blue Velocore+ 50,FK0116,2B1M,Graphite,R2,58,3.9,low/mid,stiff,mid/high,$350.00,96
Fuji Motore X F3 50,FK0106,2B1S,Graphite,R2,57,5.2,low/mid,stiff,mid/high,$225.00,98
Accra iWood 42,AC0003,2B2M,Graphite,M2-A,53,4.9,low/mid,med/soft,mid/high,$99.00 ,78
Accra iWood 52,AC0003,2B2M,Graphite,M2-A,60,4.1,low/mid,med/soft,mid/high,$99.00,78
Aldila NV 55,AL0088,2B2M,Graphite,A,57,4.4,mid/high,medium,low/mid,$80.00,87
Aldila NVS 55,AL0091,2B2M,Graphite,A,55,4.7,mid,medium,mid/high,$80.00,87
Denali Blue 50,TT0209,2B2M,Graphite,A(5.0),55,4.8,mid,med/firm,mid,$225.00,102
GD Tour AD IZ 50,GD0052,2B2M,Graphite,R2,52,4.5,mid,med/firm,high,$379.00,Web
Graftech GT 65,GW0048,2B2M,Graphite,A,65,4.5,low/mid,med/soft,high,$27.99,73
Graftech Lite,GW1005,2B2M,Graphite,A,73,4.8,mid,medium,mid,$16.99,73
Mitsubishi C6 Onyx 50,MR0091,2B2M,Graphite,A,55,4.9,mid,medium,mid,$250.00,93
ProForce V2 55,US0139,2B2M,Graphite,A,56,3.7,mid,medium,mid,$75.00,82
ProLaunch GWX 50,TT0155,2B2M,Graphite,A,52,4.8,mid,medium,mid/high,$59.99,79
UST Gold 55,US0081,2B2M,Graphite,A,49,4.5,low/mid,med/soft,mid/high,$55.00,85
UST Gold 65,US0054,2B2M,Graphite,A,59,4.0,low/mid,med/soft,mid/high,$55.00,85
Ventus Red 50,FK0099,2B2M,Graphite,A,58,3.9,low,firm,mid/high,$350.00,97
Ventus Red Velocore+ 50,FK0117,2B2M,Graphite,R2,59,3.8,low,firm,mid/high,$350.00 ,Web
Ventus TR Red 50,FK0114,2B2M,Graphite,R2,59,3.7,mid,firm,mid/high,$350.00,96
Ascent Red 40,AL0086,2B2S,Graphite,R2,47,7.4,mid,medium,mid,$250.00,88
EvenFlow Blue 55,TT0142,2B2S,Graphite,A(5.0),55,5.6,mid,medium,mid,$49.99,Web
GD Tour AD GC 40,GD0066,2B2S,Graphite,R2,45,5.5,mid,med/firm,mid,$379.00,Web
Vanquish 40,MR0103,2B2S,Graphite,R2,47,5.4,mid,medium,mid/high,$360.00,92
MPF Pro Series FW,MA0290,2B3M,Graphite,A,75,4.0,mid,med/soft,mid/high,$29.99,72
Graftech GT 55,GW0049,2D2M,Graphite,A,56,4.7,mid,soft,high,$29.99,73
Diamana GT Series 40,MR0102,2D1S,Graphite,R2,46,5.6,mid/high,med/firm,low/mid,$360.00,Web
Aldila NVS 45,AL0091,2D2S,Graphite,A,48,6.2,low/mid,med/soft,mid/high,$80.00,87
Competition Series,US0044,2D2S,Graphite,A,61,6.0,low,medium,high,$30.00,85
Diamana BB Series 43,MR0117,2D2S,Graphite,R2,44,5.1,mid/high,medium,mid,$360.00,Web
Evenflow Riptide CB 40,TT0201,2D2S,Graphite,A(5.0),45,5.0,mid,medium,mid/high,$80.00,104
Fuji Speeder NX Blue 40,FK0109,2D2S,Graphite,R2,45.5,5.4,low,firm,mid/high,$350.00,98
Fuji Speeder NX Green 40,FK0115,2D2S,Graphite,R2,48,5.7,low,firm,mid/high,$350.00,98
GD Tour AD CQ 40,GD0062,2D2S,Graphite,R2,47,6.1,low/mid,medium,mid/high,$379.00,100
GD Tour AD IZ 40,GD0052,2D2S,Graphite,R2,46,5.6,mid,soft,high,$379.00,100
HZRDUS Smoke Red RDX 50,TT0180,2D2S,Graphite,A(5.0),50,5.9,mid,medium,mid,$225.00,104
Kuro Kage Blk HBP 50 2nd Gen ,MR0044,2D2S,Graphite,A,57,5.4,mid,medium,mid,$49.99,95
Misubishi C6 Onyx 40,MR0091,2D2S,Graphite,A,49,6.0,mid,medium,mid,$250.00,93
ProLaunch Blue 45,TT0133,2D2S,Graphite,A,44,5.0,low/mid,med/soft,high,$59.99,79
Tensei CK Blue 50,MR0068,2D2S,Graphite,A,53,6.4,mid,med/soft,mid/high,$129.00,94
UST Helium Nanocore 40,US0126,2D2S,Graphite,F2-A,46,6.3,mid,soft,high,$280.00,Web
UST Helium Nanocore 50,US0126,2D2S,Graphite,F2-A,53,5.7,mid,soft,high,$280.00,Web
UST LINQ M40X Red 50,US0132,2D2S,Graphite,F2-A,57,5.8,low/mid,med/soft,mid/high,$325.00,81
Cypher 2.0 50,TT0211,2D3M,Graphite,A(5.0),53,4.7,low,med/soft,high,$225.00,102
G-Tech,GD0011,2D3M,Graphite,A,69,4.9,low,soft,high,$27.99,101
KBS TD 50,FS0066,2D3M,Graphite,cat1-A,50,4.2,low,soft,high,$200.00,110
KBS TD 60,FS0066,2D3M,Graphite,cat1-A,60,3.2,low,soft,high,$200.00,110
Proforce V2 HL 55,US0141,2D3M,Graphite,F2-A,51,4.5,low,med/soft,high,$75.00,82
Rapport Core Blue 50,VA0001,2D3M,Graphite,A,53,4.5,low,soft,high,$99.99,75
Rapport Core Blue CB 60,VA0004,2D3M,Graphite,A,62,4.5,low,soft,high,$99.99,75
Rapport Core Blue FW 60,VA0005,2D3M,Graphite,A,64,4.0,low,soft,high,$69.99,75
Cypher 2.0 40,TT0211,2D3S,Graphite,A(5.0),47,5.5,low,med/soft,high,$225.00,102
GD Anti Gravity aG33-3,GD0065,2D3S,Graphite,R2,38.5,7.6,low,sift,high,$379.00,Web
KBS Max HL 40,FS0086,2D3S,Graphite,R2,40,5.7,low,soft,high,$99.95,111
KBS TD 40,FS0065,2D3S,Graphite,cat1-A,46,5.2,low,soft,high,$200.00,110
M890,MA0311,2D3S,Graphite,A,65,5.5,low,soft,high,$24.99,72
Mitsubishi C6 Red 40,MR0098,2D3S,Graphite,R2,49,6.6,low/mid,soft,high,$150.00,93
Mitsubishi C6 Red 50,MR0098,2D3S,Graphite,R2,56,6.0,low/mid,soft,high,$150.00,93
MPF Pro Series DR,MA0289,2D3S,Graphite,A,55,5.0,low,soft,high,$34.99,72
MPF Pro Series UL,MA0288,2D3S,Graphite,A,44,5.7,low/mid,soft,high,$39.99,72
Pro Custom,TT202214,2D3S,Graphite,A,68,5.0,low,soft,high,$31.99,79
UST Attas Speed 40,US0138,2D3S,Graphite,A,48,5.1,low,soft,high,$385.00,81
UST dhi Series,US0082,2D3S,Graphite,A,63,5.9,low,soft,high,$30.00,85
Vista Pro 45,FK0102,2D3S,Graphite,R2,49,5.4,low,med/soft,high,$95.00,99
Vista Pro 55,FK0102,2D3S,Graphite,R2,55,5.1,low,med/soft,high,$95.00,99
GD Tour AD VR 50,GD0056,2.5B1M,Graphite,R2,54,4.5,mid,firm,mid/high,$379.00,Web
GD Tour AD VR 40,GD0056,2.5B1S,Graphite,R2,46,5.7,mid,firm,mid/high,$379.00,Web
Diamana TB Series 40,MR0093,2.5B2S,Graphite,R2,49,6.2,mid/high,medium,mid,$360.00,Web
Aldila Synergy Blue 50,AL0087,2.5D2S,Graphite,R2,51,6.8,mid,medium,mid,$175.00,89
HZRDUS Orange Gen 4 Junior,TT0205,2.5D2S,Graphite,R(5.5) J,51,5.6,mid,medium,mid,$50.00,103
Accra TZ5 Series 55,AC0001,3B1M,Graphite,M3-R,60,3.9,high,firm,low,$200.00,78
Aldila NV 65,AL0088,3B1M,Graphite,R,66,3.7,mid/high,med/firm,low/mid,$80.00,87
Aldila NV 75,AL0088,3B1M,Graphite,R,75,3.1,mid/high,med/firm,low/mid,$80.00,87
Diamana GT Series 50,MR0102,3B1M,Graphite,R,56,4.7,mid/high,firm,low/mid,$360.00,Web
Diamana TB Series 60,MR0093,3B1M,Graphite,R,64,3.9,mid/high,med/firm,mid,$360.00,Web
Diamana WB Series 53,MR0114,3B1M,Graphite,R,52,4.7,high,med/firm,low,$360.00,92
Diamana D+ 62,MR0035,3B1M,Graphite,R,64,3.7,mid/high,firm,low/mid,$129.00,94
Fuji Motore X F3 50,FK0106,3B1M,Graphite,R,58,4.9,low/mid,stiff,mid/high,$225.00,98
Fuji Motore X F3 60,FK0106,3B1M,Graphite,R,67,4.5,low/mid,stiff,mid/high,$225.00,98
GD Tour AD DI 50 Blk,GD0023,3B1M,Graphite,R1,55,4.7,mid,firm,high,$379.00,101
GD Tour AD DI 50 Org,GD0023,3B1M,Graphite,R1,55,4.7,mid,firm,high,$379.00,101
GD Tour AD GC 50,GD0066,3B1M,Graphite,R1,52.5,4.5,mid,firm,mid,$379.00,Web
GD Tour AD HD 50,GD0060,3B1M,Graphite,R1,57,4.4,mid,firm,mid,$379.00,Web
GD Tour AD UB 50,GD0061,3B1M,Graphite,R1,56,4.4,mid,firm,mid,$379.00,100
GD Tour AD VF 50,GD0063,3B1M,Graphite,R1,55,4.3,mid/high,stiff,low/mid,$379.00,100
GD Tour AD VR 50,GD0056,3B1M,Graphite,R1,56,4.5,mid,firm,mid/high,$379.00,Web
GD Tour AD XC 50,GD0059,3B1M,Graphite,R1,54,4.2,mid/high,stiff,low/mid,$379.00,100
HZRDUS Black G4 60,TT0190,3B1M,Graphite,R(5.5),60,4.0,high,stiff,low,$225.00,103
HZRDUS Smoke Black 60,TT0138,3B1M,Graphite,R(5.5),59,4.0,high,stiff,low,$80.00,103
